Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,1990,2147,320,1905,1503
550,2649,2832,295,2588,2007
600,3443,3750,374,3362,2630
650,4436,4889,466,4355,3311
700,6299,7128,572,5946,4100
750,7225,7899,712,6965,5240
800,8846,9430,880,8598,6502
850,10429,11317,985,10161,7410
900,11975,13144,1152,11955,8618
950,14713,16252,1333,14723,10163
1000,17372,19533,1557,19486,11945
