Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,3449,3460,473,3316,2356
550,5752,6020,542,5644,3795
600,9385,9832,819,9437,5679
650,12435,12032,1028,12143,6801
700,15587,16451,1259,15390,8948
750,21597,24086,1776,21110,11002
800,26592,33191,1965,24594,13315
850,32661,40522,2394,32279,16471
900,34563,48956,2868,33722,19484
950,46603,68625,3410,47339,22705
1000,56326,82736,3803,78256,26116
