Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,92,487,129,82,1447
550,95,527,138,104,1917
600,122,665,178,129,2508
650,169,900,240,183,3562
700,273,1248,311,259,4796
750,280,1405,358,260,5399
800,325,1801,442,342,6646
850,348,1922,520,375,7613
900,454,2358,622,469,9185
950,507,2710,713,519,10659
1000,610,3015,811,592,12032
