Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,106,302,333,85,1419
550,120,320,291,104,1902
600,168,388,356,130,2478
650,185,497,449,165,3171
700,232,630,552,198,3988
750,274,879,693,246,4940
800,333,1035,811,293,6019
850,387,1362,984,362,7243
900,471,1640,1187,416,8647
950,536,2076,1337,520,10172
1000,656,2491,1576,607,12026
