Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,56,124,84,35,1403
550,52,158,111,44,1880
600,67,204,99,54,2455
650,95,244,121,82,3133
700,100,310,149,84,3957
750,189,345,190,104,4883
800,161,365,208,121,5994
850,168,496,258,147,7171
900,237,590,284,187,8543
950,251,657,327,208,10094
1000,310,770,403,245,11790
