Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,3200,3341,497,2676,2248
550,4496,5657,488,4519,2794
600,4978,5510,518,4773,3253
650,6682,7506,777,6715,4276
700,8378,9834,1167,9041,5376
750,13149,13183,1033,11870,7015
800,16292,16438,2065,15710,8699
850,22314,24476,2062,20942,9985
900,23101,25627,2130,23333,11965
950,26891,28620,2595,25761,12431
1000,27488,32404,2664,27038,14135
