Input Length n,Basic,Improved,Advanced
100,15,8,11
200,139,25,22
300,418,49,79
400,963,135,171
500,2139,202,356
600,3658,377,570
700,6930,692,821
800,8586,867,1329
900,12670,1651,1829
1000,25639,1802,2706
