Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,154,267,309,96,1561
550,144,515,445,117,2237
600,183,816,415,159,2799
650,206,1268,507,186,3894
700,284,689,692,241,4520
750,312,1486,754,288,5383
800,794,1866,1355,325,6311
850,891,2808,1544,398,7611
900,525,3321,1708,500,9061
950,618,3419,1506,587,10677
1000,729,5180,2114,659,12579
