Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,2128,2062,33,2051,2049
550,2676,2683,4,2572,2021
600,3620,3618,161,3428,2815
650,4696,4452,223,4379,3311
700,5411,6999,6,5560,4023
750,6722,7046,7,6410,4974
800,8782,9356,9,8668,6391
850,10642,10156,426,10201,7432
900,12569,12075,426,13076,8915
950,15199,15916,13,15628,10423
1000,17482,18005,389,16870,11830
