Input Length n,Basic,Improved,Advanced
100,25,12,7
200,116,19,22
300,541,72,90
400,1644,134,324
500,3972,476,824
600,7345,758,1117
700,14086,1095,2162
800,21141,1938,3930
900,29443,3002,5982
1000,45566,3662,8456
