Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,24,67,22,9,2619
550,19,224,10,11,4414
600,64,72,10,14,5956
650,33,137,49,58,7603
700,31,102,14,19,9772
750,80,114,53,18,11654
800,39,214,14,20,14083
850,78,123,15,20,14502
900,54,173,23,28,19719
950,54,223,69,28,22270
1000,154,166,89,35,26798
