Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,265,730,597,332,2614
550,234,553,524,232,3318
600,394,931,1074,434,5767
650,483,1278,1115,532,6352
700,704,1677,1670,652,9379
750,823,2339,1762,1028,11491
800,1257,3204,2255,1224,13870
850,1420,3999,2491,1447,16534
900,1721,4963,3052,1738,19551
950,1774,5601,3366,1755,21305
1000,2594,7143,4211,2274,26849
