Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,120,220,155,91,2266
550,106,233,138,107,2928
600,123,280,145,113,3636
650,115,279,150,102,3957
700,163,356,196,154,5479
750,221,495,266,268,7227
800,270,616,299,298,8651
850,392,757,391,414,10729
900,466,935,460,518,12951
950,588,1241,571,714,14757
1000,698,1410,599,723,17672
