Matrix Dim n,Basic,Improved,Advanced
500,2551,304,164
550,7270,736,392
600,8392,792,374
650,11200,1067,460
700,15619,1312,654
750,19218,1639,752
800,22530,1795,1038
850,31502,2427,1241
900,38020,2863,1812
950,50525,3339,1884
1000,95612,3969,2292
