Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,31,47,89,28,1525
550,134,22,124,29,1972
600,65,26,63,6,2657
650,10,30,27,7,3833
700,13,36,8,7,4156
750,105,133,201,99,5213
800,200,233,196,10,6212
850,285,60,280,11,7425
900,40,575,30,12,8865
950,22,637,14,14,10449
1000,25,616,15,15,12244
