Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,241,97,13,5,1542
550,111,20,84,5,2056
600,133,24,135,7,2667
650,16,27,7,8,3883
700,19,33,7,8,4213
750,129,139,223,24,5410
800,100,134,180,10,6446
850,236,56,239,11,7635
900,43,498,12,28,9073
950,33,511,14,14,10705
1000,36,539,15,14,12591
