Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,58,210,98,41,1562
550,59,182,101,49,2014
600,72,231,134,63,2585
650,89,392,130,80,3304
700,139,357,183,99,4169
750,129,392,230,116,5160
800,155,498,217,136,6218
850,181,523,323,173,7559
900,215,712,315,206,8991
950,313,803,407,243,10604
1000,296,832,483,275,12485
