Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,153,671,123,81,1486
550,101,759,286,107,2150
600,120,661,177,128,2564
650,145,820,267,159,3156
700,629,1811,704,193,3952
750,255,1965,822,246,5005
800,314,3000,894,299,6233
850,355,5522,570,356,7378
900,404,5405,633,402,9064
950,475,0,750,482,10554
1000,568,0,857,548,11862
