Matrix Dim n,Basic,Improved,Advanced
500,2822,298,140
550,3914,363,148
600,4693,460,244
650,6824,609,281
700,9097,771,364
750,11851,915,419
800,14895,1132,608
850,19610,1417,704
900,19904,1652,861
950,28184,1908,1141
1000,31569,2260,1333
