Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,132,276,118,39,1580
550,44,271,27,49,1942
600,138,329,166,68,2622
650,73,515,223,86,3266
700,91,626,206,118,4258
750,105,1170,68,118,5098
800,134,596,81,734,6174
850,391,1085,363,185,7454
900,197,1482,496,227,8864
950,466,1732,592,266,10765
1000,711,1943,177,282,12750
