Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,288,685,353,92,1771
550,121,889,574,124,2396
600,143,764,428,179,2913
650,198,1564,870,201,3701
700,720,2151,1225,234,4432
750,282,2022,1360,280,5347
800,331,3073,1516,340,6492
850,387,5595,1214,410,7775
900,488,0,1403,522,10034
950,615,0,1630,576,11643
1000,693,0,1898,633,12864
