Matrix Dim n,JSA,MapMatrix,CRS,IntMatrix,Jama
500,10,23,12,33,1415
550,7,19,5,5,1876
600,9,23,5,47,2445
650,10,28,72,6,3140
700,12,33,7,21,3958
750,14,39,8,9,4888
800,15,44,23,10,5954
850,17,53,25,11,7176
900,20,63,12,12,8575
950,23,57,42,13,10107
1000,25,77,29,29,11830
