Matrix Dim n,Basic,Improved,Advanced
500,1820,210,80
550,2404,268,101
600,3160,374,127
650,4088,438,159
700,5909,543,196
750,6500,681,239
800,8350,844,307
850,9868,993,374
900,13696,1280,492
950,17019,1451,541
1000,21853,1696,698
